User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,XXXXXXXXXXXX,2020-09-03T23:06:40Z,cloudtrail.amazonaws.com,StartLogging,us-east-2,45.47.206.52,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""udacity-trail""}]",9e03c006-80e2-4eb8-962a-9a9eee6d6592,dd7bee29-ffb2-479f-8e2f-1e0a856f48ae,FALSE,AwsApiCall,7.19115E+11,
CloudTrail,XXXXXXXXXXXX,2020-09-03T23:06:40Z,s3.amazonaws.com,CreateBucket,us-east-2,45.47.206.52,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.841 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.262-b10 java/1.8.0_262 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-719114773975-udacity-trail-672d9d4c""}]",6946AF8096D82585,f1969ecc-e4d1-443a-80b0-382d8e6ce85d,FALSE,AwsApiCall,7.19115E+11,
CloudTrail,XXXXXXXXXXXX,2020-09-03T23:03:22Z,signin.amazonaws.com,ConsoleLogin,us-east-1,45.47.206.52,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36",,[],,cfd39dd5-78d6-4148-b897-dd1b4b14bca7,,AwsConsoleSignIn,7.19115E+11,
root,XXXXXXXXXXXX,2020-09-03T22:59:16Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,45.47.206.52,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",5e0e0887-f00b-438c-8b3c-ac0bea3413cd,75c225ce-9635-45da-8341-62e2fad36155,,AwsApiCall,7.19115E+11,
root,XXXXXXXXXXXX,2020-09-03T22:59:15Z,iam.amazonaws.com,AddUserToGroup,us-east-1,45.47.206.52,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",3f20d375-c26e-4a95-a31a-2378253af424,ac40fd7e-055c-419e-b797-1df8993cbec5,,AwsApiCall,7.19115E+11,
root,XXXXXXXXXXXX,2020-09-03T22:59:15Z,iam.amazonaws.com,CreateUser,us-east-1,45.47.206.52,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA2O3UUUXLVGTGCEOAZ""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::719114773975:user/Accountant""}]",42737e6f-724c-48e9-88df-b77bb5bd3fdb,d69f4bf2-c70d-4762-999f-d57a9e0b2e67,,AwsApiCall,7.19115E+11,
root,XXXXXXXXXXXX,2020-09-03T22:56:13Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,45.47.206.52,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",e9b087d6-c453-4a44-8144-96c8cb3014ee,b2890119-a508-4e65-a25f-1a4934b1a7e8,,AwsApiCall,7.19115E+11,
root,XXXXXXXXXXXX,2020-09-03T22:56:13Z,iam.amazonaws.com,CreateUser,us-east-1,45.47.206.52,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA2O3UUUXL4AOIIAKTK""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::719114773975:user/CloudTrail""}]",7fc697e8-bac6-44be-849c-8faa52c6c456,b2d36d68-9e23-49e9-8360-4523730889f0,,AwsApiCall,7.19115E+11,
root,XXXXXXXXXXXX,2020-09-03T22:56:13Z,iam.amazonaws.com,AddUserToGroup,us-east-1,45.47.206.52,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",63d49b05-dd89-4b6b-90b0-700dfa5262e0,b88ada54-2298-4ed9-9794-b5372778ae91,,AwsApiCall,7.19115E+11,
root,XXXXXXXXXXXX,2020-09-03T22:54:14Z,iam.amazonaws.com,CreateGroup,us-east-1,45.47.206.52,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA2O3UUUXLQGHTLYHEN""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::719114773975:group/Reviewers""}]",350fdebc-bd69-480a-be42-5fac7c329b1e,bfc5f6a8-48b3-46a3-9b58-2178caf9faba,,AwsApiCall,7.19115E+11,
